submission_date,state - 2,tot_cases,new_case,tot_death,conf_death,new_death,State
2/28/2021,ND,99852,43,1445,,0,NORTH DAKOTA
12/21/2020,MI,563086,3262,12864,12160,126,MICHIGAN
11/11/2020,ND,59173,1800,697,,11,NORTH DAKOTA
5/25/2021,NE,223308,82,2249,,0,NEBRASKA
2/5/2021,NC,788657,4487,11332,10071,69,NORTH CAROLINA
4/24/2020,ME,989,24,47,47,3,MAINE
8/7/2020,WI,63028,1043,997,990,12,WISCONSIN
6/6/2021,VT,22725,10,249,,0,VERMONT
8/27/2020,NV,67491,553,1300,,21,NEVADA
2/21/2021,CT,273101,0,7523,6166,0,CONNECTICUT
4/6/2020,MO,3840,293,95,,8,MISSOURI
2/18/2021,ND,99153,119,1435,,0,NORTH DAKOTA
10/19/2020,IN,149166,1584,3946,3725,12,INDIANA
3/7/2021,GU,7751,2,133,,0,GUAM
3/10/2022,AL,1288658,432,19338,14858,13,ALABAMA
10/3/2021,WI,818555,2184,8921,8029,10,WISCONSIN
6/5/2021,IN,746554,419,13669,13251,24,INDIANA
3/22/2020,WI,381,100,4,,0,WISCONSIN
6/4/2020,ID,3054,64,83,63,0,IDAHO
2/5/2020,MO,0,0,0,,0,MISSOURI
9/25/2021,WI,796042,2232,8800,7918,6,WISCONSIN
2/14/2022,ME,223355,302,1849,1690,21,MAINE
7/8/2020,DE,12509,53,517,460,2,DELAWARE
3/10/2020,CT,2,1,0,,0,CONNECTICUT
11/19/2020,AL,226308,2517,5031,4281,24,ALABAMA
12/23/2021,DE,167602,1131,2255,2065,6,DELAWARE
3/31/2021,VT,17980,176,223,,1,VERMONT
1/26/2021,WA,302659,965,4167,,19,WASHINGTON
1/13/2021,CA,2781039,33751,30685,30685,580,CALIFORNIA
12/14/2021,WA,794585,1088,9608,,28,WASHINGTON
4/26/2021,WA,396523,1264,5450,,16,WASHINGTON
4/2/2021,AL,515789,352,10991,8781,7,ALABAMA
9/19/2021,NV,411578,737,6867,,11,NEVADA
5/18/2020,IN,28255,477,1754,1616,14,INDIANA
4/13/2021,WA,378106,1432,5340,,11,WASHINGTON
11/20/2020,NC,331344,4154,5451,5285,37,NORTH CAROLINA
10/22/2020,NV,92853,789,1736,,4,NEVADA
5/20/2021,MO,595459,621,9005,,9,MISSOURI
9/24/2020,NE,42817,466,462,,0,NEBRASKA
2/3/2020,MI,0,0,0,,0,MICHIGAN
1/24/2022,IL,2837861,64499,33803,30155,357,ILLINOIS
6/15/2020,MT,612,3,19,19,0,MONTANA
5/4/2021,NC,965520,1271,13155,11615,16,NORTH CAROLINA
3/13/2022,ME,232293,0,2145,1930,0,MAINE
9/6/2020,MD,112119,512,3927,3772,7,MARYLAND
2/12/2020,CA,7,1,0,0,0,CALIFORNIA
11/4/2020,MS,126202,1170,3765,3318,28,MISSISSIPPI
2/2/2020,DE,0,0,0,0,0,DELAWARE
1/18/2021,GU,7515,41,125,,0,GUAM
2/6/2022,GU,36612,499,298,,2,GUAM
4/8/2020,MS,3495,178,240,239,12,MISSISSIPPI
12/25/2021,NH,189987,0,1877,,0,NEW HAMPSHIRE
11/22/2020,ND,73397,714,846,,6,NORTH DAKOTA
4/1/2020,MI,21593,1690,687,637,129,MICHIGAN
2/2/2022,NH,278691,1336,2232,,9,NEW HAMPSHIRE
